Username,ProfileLink,DisplayName,Title,CarID,CarHueAngle,Speed,Races,Points,Accuracy,Team
8d81feca1ceb3bd081bb2d64ee4a46b1,https://www.nitrotype.com/racer/8d81feca1ceb3bd081bb2d64ee4a46b1,Top Dog,Pro Pacer,218,20,33.68208661417323,315,35249.74536783775,95.774524414833,SSME
86f7f5e398d84a66268d352f229c3f35,https://www.nitrotype.com/racer/86f7f5e398d84a66268d352f229c3f35,Its_mimi_,Raw Racing Recruit,264,100,62.609518800946624,285,35213.359610340565,94.09837717971979,AL0N3D
bobbey438975676,https://www.nitrotype.com/racer/bobbey438975676,bobbey438975676,404 Not Found,316,0,32.846124474990454,326,35186.70244836439,92.70901143866827,RI5E
b5db65bcdb21ea0e321928b12cd810fe,https://www.nitrotype.com/racer/b5db65bcdb21ea0e321928b12cd810fe,Harry Potter,Nitro Pup,268,280,30.58297078931013,381,35169.052831682944,80.06421720045522,LEGNDS
bb456070b5c42a8618cf9a3c3fe913dc,https://www.nitrotype.com/racer/bb456070b5c42a8618cf9a3c3fe913dc,Cheriekitty,Valentypist,316,300,42.91232323232323,302,35165.71222998286,95.87225067791503,HYP3Z
10da44e98200faaab6c086794cbee4d2,https://www.nitrotype.com/racer/10da44e98200faaab6c086794cbee4d2,--MMM0nster--,Extraterrestrial,162,20,27.093095982679817,333,35146.04104174073,92.95189387885569,MMM0
23b7fd036bd8226c1cc437f1181a00ac,https://www.nitrotype.com/racer/23b7fd036bd8226c1cc437f1181a00ac,I Love Aiyana,Ultimate Racer,230,200,76.92343658679135,272,35139.48344368038,93.30324580598104,0CE8N
f1deede1ef41636f3fa588e5b4aa641b,https://www.nitrotype.com/racer/f1deede1ef41636f3fa588e5b4aa641b,the big Rdawg,Filthy Rich,233,220,41.734293034036845,315,35137.66685954005,92.28988354146205,4EP
hellomyoldfriend,https://www.nitrotype.com/racer/hellomyoldfriend,Darth maul rules,Olde School,343,0,56.09065155807365,303,35135.18286057663,90.55988455988457,LE4GUE
5e8aa70bc8253978f986c170a5e8332d,https://www.nitrotype.com/racer/5e8aa70bc8253978f986c170a5e8332d,derpy doge,RIP,343,180,85.30341113105924,258,35119.39439087366,95.42240181841142,DOGEE
6c4bc158c3558d0e16371d3b85822d9b,https://www.nitrotype.com/racer/6c4bc158c3558d0e16371d3b85822d9b,Astorr,Galactic Guardian,239,0,79.52181818181818,257,35023.40254086928,97.50783089832407,TCHR
6a1c5f41dcf4c7ac7a66be8118e30329,https://www.nitrotype.com/racer/6a1c5f41dcf4c7ac7a66be8118e30329,Iceypurple_YT,:D,304,0,83.81790865384616,258,34967.38462554477,95.50665720246928,AMPX
19c7686f97a1479ebf2b69789a1c4222,https://www.nitrotype.com/racer/19c7686f97a1479ebf2b69789a1c4222,NERD429,Epic Word Skippage,316,200,87.61978842563784,254,34932.27663454913,95.63225737722382,ZER0SE
creationsmtdvmevi,https://www.nitrotype.com/racer/creationsmtdvmevi,Its Prestonnnnnn,Taco Lover,377,180,65.63458401305057,286,34859.76242999659,91.77064174578715,TVX
e668502e85d0cdee6cafcdcac87ca96b,https://www.nitrotype.com/racer/e668502e85d0cdee6cafcdcac87ca96b,pump Jocey,Catty Wampus,257,0,25.680701374607644,347,34798.81817065669,88.873153955088,NTT
